baby,dclm-1.0,,,,,,
baby,finemath-0.0.0,finemath-4plus,,,,,
baby,finepdfs-1.0.0,als_Latn,,,,,
baby,finepdfs-1.0.0,bos_Latn,,,,,
baby,finepdfs-1.0.0,bul_Cyrl,,,,,
baby,finepdfs-1.0.0,cat_Latn,,,,,
baby,finepdfs-1.0.0,ces_Latn,,,,,
baby,finepdfs-1.0.0,dan_Latn,,,,,
baby,finepdfs-1.0.0,deu_Latn,,,,,
baby,finepdfs-1.0.0,ekk_Latn,,,,,
baby,finepdfs-1.0.0,ell_Grek,,,,,
baby,finepdfs-1.0.0,eng_Latn,,,,,
baby,finepdfs-1.0.0,eus_Latn,,,,,
baby,finepdfs-1.0.0,fin_Latn,,,,,
baby,finepdfs-1.0.0,fra_Latn,,,,,
baby,finepdfs-1.0.0,gle_Latn,,,,,
baby,finepdfs-1.0.0,glg_Latn,,,,,
baby,finepdfs-1.0.0,hrv_Latn,,,,,
baby,finepdfs-1.0.0,hun_Latn,,,,,
baby,finepdfs-1.0.0,isl_Latn,,,,,
baby,finepdfs-1.0.0,ita_Latn,,,,,
baby,finepdfs-1.0.0,lit_Latn,,,,,
baby,finepdfs-1.0.0,lvs_Latn,,,,,
baby,finepdfs-1.0.0,mkd_Cyrl,,,,,
baby,finepdfs-1.0.0,mlt_Latn,,,,,
baby,finepdfs-1.0.0,nld_Latn,,,,,
baby,finepdfs-1.0.0,nno_Latn,,,,,
baby,finepdfs-1.0.0,nob_Latn,,,,,
baby,finepdfs-1.0.0,pol_Latn,,,,,
baby,finepdfs-1.0.0,por_Latn,,,,,
baby,finepdfs-1.0.0,ron_Latn,,,,,
baby,finepdfs-1.0.0,slk_Latn,,,,,
baby,finepdfs-1.0.0,slv_Latn,,,,,
baby,finepdfs-1.0.0,spa_Latn,,,,,
baby,finepdfs-1.0.0,srp_Cyrl,,,,,
baby,finepdfs-1.0.0,swe_Latn,,,,,
baby,finepdfs-1.0.0,tur_Latn,,,,,
baby,finepdfs-1.0.0,ukr_Cyrl,,,,,
baby,finepdfs-edu-1.0.0,als_Latn,,,,,
baby,finepdfs-edu-1.0.0,bos_Latn,,,,,
baby,finepdfs-edu-1.0.0,bul_Cyrl,,,,,
baby,finepdfs-edu-1.0.0,cat_Latn,,,,,
baby,finepdfs-edu-1.0.0,ces_Latn,,,,,
baby,finepdfs-edu-1.0.0,dan_Latn,,,,,
baby,finepdfs-edu-1.0.0,deu_Latn,,,,,
baby,finepdfs-edu-1.0.0,ekk_Latn,,,,,
baby,finepdfs-edu-1.0.0,ell_Grek,,,,,
baby,finepdfs-edu-1.0.0,eng_Latn,,,,,
baby,finepdfs-edu-1.0.0,eus_Latn,,,,,
baby,finepdfs-edu-1.0.0,fin_Latn,,,,,
baby,finepdfs-edu-1.0.0,fra_Latn,,,,,
baby,finepdfs-edu-1.0.0,glg_Latn,,,,,
baby,finepdfs-edu-1.0.0,hrv_Latn,,,,,
baby,finepdfs-edu-1.0.0,hun_Latn,,,,,
baby,finepdfs-edu-1.0.0,isl_Latn,,,,,
baby,finepdfs-edu-1.0.0,ita_Latn,,,,,
baby,finepdfs-edu-1.0.0,lit_Latn,,,,,
baby,finepdfs-edu-1.0.0,lvs_Latn,,,,,
baby,finepdfs-edu-1.0.0,mkd_Cyrl,,,,,
baby,finepdfs-edu-1.0.0,mlt_Latn,,,,,
baby,finepdfs-edu-1.0.0,nld_Latn,,,,,
baby,finepdfs-edu-1.0.0,nno_Latn,,,,,
baby,finepdfs-edu-1.0.0,nob_Latn,,,,,
baby,finepdfs-edu-1.0.0,pol_Latn,,,,,
baby,finepdfs-edu-1.0.0,por_Latn,,,,,
baby,finepdfs-edu-1.0.0,ron_Latn,,,,,
baby,finepdfs-edu-1.0.0,slk_Latn,,,,,
baby,finepdfs-edu-1.0.0,slv_Latn,,,,,
baby,finepdfs-edu-1.0.0,spa_Latn,,,,,
baby,finepdfs-edu-1.0.0,srp_Cyrl,,,,,
baby,finepdfs-edu-1.0.0,swe_Latn,,,,,
baby,finepdfs-edu-1.0.0,tur_Latn,,,,,
baby,finepdfs-edu-1.0.0,ukr_Cyrl,,,,,
baby,hplt-3.0,als_Latn,,,,,
baby,hplt-3.0,bos_Latn,,,,,
baby,hplt-3.0,bul_Cyrl,,,,,
baby,hplt-3.0,cat_Latn,,,,,
baby,hplt-3.0,ces_Latn,,,,,
baby,hplt-3.0,dan_Latn,,,,,
baby,hplt-3.0,deu_Latn,,,,,
baby,hplt-3.0,ekk_Latn,,,,,
baby,hplt-3.0,ell_Grek,,,,,
baby,hplt-3.0,eus_Latn,,,,,
baby,hplt-3.0,fin_Latn,,,,,
baby,hplt-3.0,fra_Latn,,,,,
baby,hplt-3.0,gle_Latn,,,,,
baby,hplt-3.0,glg_Latn,,,,,
baby,hplt-3.0,hrv_Latn,,,,,
baby,hplt-3.0,hun_Latn,,,,,
baby,hplt-3.0,isl_Latn,,,,,
baby,hplt-3.0,ita_Latn,,,,,
baby,hplt-3.0,lit_Latn,,,,,
baby,hplt-3.0,lvs_Latn,,,,,
baby,hplt-3.0,mkd_Cyrl,,,,,
baby,hplt-3.0,mlt_Latn,,,,,
baby,hplt-3.0,nld_Latn,,,,,
baby,hplt-3.0,nno_Latn,,,,,
baby,hplt-3.0,nob_Latn,,,,,
baby,hplt-3.0,pol_Latn,,,,,
baby,hplt-3.0,por_Latn,,,,,
baby,hplt-3.0,ron_Latn,,,,,
baby,hplt-3.0,slk_Latn,,,,,
baby,hplt-3.0,slv_Latn,,,,,
baby,hplt-3.0,spa_Latn,,,,,
baby,hplt-3.0,srp_Cyrl,,,,,
